Qty,Designator,Footprint,Comment,LCSC Part # (Optional),Description (optional)
3,"C1, C2, C4",C0603,100nF 50V 0603,C14663,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 100NF 50V 0603 ROHS
1,C5,C0805,10uF 25V 0805,C15850,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 10UF 25V 0805 ROHS
1,C3,C0603,1uF 50V 0603,C15849,MULTILAYER CERAMIC CAPACITORS MLCC - SMD/SMT 1UF 50V 0603 ROHS
1,IC3,DIP-20,ATF16V8B-15PU,DO NOT MOUNT,"Microchip Technology ATF16V8B-15PU, SPLD Simple Programmable Logic Device ATF16V8B 150 Gates, 8 Macro Cells, 8 I/O,"
1,J2,2X20_NOSILK,CONN_20X2NOSILK,DO NOT MOUNT,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections
1,IC1,SOP-32_11.3x20.5x1.27P,LY625128SL-55LLI,C261870,RAM SRAM 4MB (512K X 8) PARALLEL SOP-32 ROHS
1,IC2,PDIP-32,SST39SF010A-70-4C-PHE,DO NOT MOUNT,"1Mbit Flash 128Kx8 Paral. 70ns 5V PDIP32 SST39SF010A-70-4C-PHE, Parallel Flash Memory, 128K x 8 bit 1mb, 70ns, 4.5  5.5 V, 32-Pin, PDIP"
